species_id,scientific_name,genus,is_rare,tropical_frac,n_total,n_train,n_val,n_test,n_flower,n_leaf,license
1416509,Nepenthes vieillardii Hook. f.,Nepenthes,True,0.9896238651102465,30,20,5,5,12,18,cc-by-sa
1419807,Vanilla planifolia Jacks. ex Andrews,Vanilla,True,0.722397476340694,33,23,5,5,8,25,cc-by-sa
1376703,Petiveria alliacea L.,Petiveria,True,0.82478184991274,38,28,5,5,9,29,cc-by-sa
1409195,Pereskia aculeata Mill.,Pereskia,True,0.7906795105441291,47,33,7,7,12,35,cc-by-sa
1408557,Pongamia pinnata (L.) Pierre,Pongamia,True,0.9326553392037703,52,36,8,8,17,35,cc-by-sa
1420787,Alocasia odora (Lindl.) K.Koch,Alocasia,True,0.9300472528490689,54,38,8,8,9,45,cc-by-sa
1406486,Kigelia africana (Lam.) Benth.,Kigelia,True,0.51338199513382,55,37,9,9,24,31,cc-by-sa
1408490,Pereskia grandifolia Haw.,Pereskia,True,0.8726287262872628,58,40,9,9,41,17,cc-by-sa
1385700,Barringtonia asiatica (L.) Kurz,Barringtonia,True,0.8298998298998299,67,47,10,10,36,31,cc-by-sa
1356076,Tradescantia zebrina Heynh. ex Bosse,Tradescantia,True,0.8372445117335352,69,49,10,10,9,60,cc-by-sa
1397598,Cobaea scandens Cav.,Cobaea,True,0.797975352112676,69,49,10,10,54,15,cc-by-sa
1618661,Dendrobium victoriae-reginae Loher,Dendrobium,True,0.9342105263157895,71,51,10,10,62,9,cc-by-sa
1384499,Lagenaria siceraria (Molina) Standl.,Lagenaria,True,0.421401077752117,80,56,12,12,53,27,cc-by-sa
1406863,Acalypha indica L.,Acalypha,True,0.654050736497545,92,66,13,13,36,56,cc-by-sa
1392654,Gomphocarpus physocarpus E.Mey.,Gomphocarpus,True,0.3836341008089608,99,71,14,14,63,36,cc-by-sa
1356037,Egeria densa Planch.,Egeria,False,,17,13,2,2,8,9,cc-by-sa
1367938,Acacia drepanolobium Harms ex Y. Sjöstedt,Acacia,False,,17,13,2,2,9,8,cc-by-sa
1412412,Lactuca biennis (Moench) Fernald,Lactuca,False,,17,13,2,2,8,9,cc-by-sa
1355955,Pelargonium odoratissimum (L.) L'Hér.,Pelargonium,False,,18,14,2,2,9,9,cc-by-sa
1358302,Fibigia clypeata (L.) Medik.,Fibigia,False,,18,14,2,2,9,9,cc-by-sa
1367267,Crotalaria polysperma Kotschy,Crotalaria,False,,18,14,2,2,9,9,cc-by-sa
1373231,Pelargonium quinquelobatum Hochst. ex A. Rich.,Pelargonium,False,,18,12,3,3,10,8,cc-by-sa
1374448,Aspilia mossambicensis (Oliv.) Wild,Aspilia,False,,18,14,2,2,9,9,cc-by-sa
1394580,Angelica razulii Gouan,Angelica,False,,18,14,2,2,9,9,cc-by-sa
1409834,Neolamarckia cadamba (Roxb.) Bosser,Neolamarckia,False,,18,14,2,2,9,9,cc-by-sa
1441375,Cirsium horridulum Michx.,Cirsium,False,,18,14,2,2,9,9,cc-by-sa
1358097,Sedum andegavense (DC.) Desv.,Sedum,False,,19,13,3,3,10,9,cc-by-sa
1374933,Montanoa hibiscifolia Benth.,Montanoa,False,,19,13,3,3,10,9,cc-by-sa
1419942,Hebe franciscana (Eastw.) Souster,Hebe,False,,19,13,3,3,8,11,cc-by-sa
1363019,Cenchrus purpureus (Schumach.) Morrone,Cenchrus,False,,20,12,4,4,10,10,cc-by-sa
1394995,Pyracantha rogersiana (A.B.Jacks.) Coltm.-Rog.,Pyracantha,False,,20,14,3,3,11,9,cc-by-sa
1413013,Aralia racemosa L.,Aralia,False,,21,13,4,4,10,11,cc-by-sa
1434326,Lupinus texensis Hook.,Lupinus,False,,21,15,3,3,13,8,cc-by-sa
1363688,Crotalaria juncea L.,Crotalaria,False,,22,16,3,3,13,9,cc-by-sa
1391113,Chaerophyllum villarsii W.D.J.Koch,Chaerophyllum,False,,22,16,3,3,8,14,cc-by-sa
1397550,Sedum montanum Perrier & Songeon,Sedum,False,,22,16,3,3,13,9,cc-by-sa
1408451,Paederia foetida L.,Paederia,False,,22,16,3,3,14,8,cc-by-sa
1373151,Pelargonium alchemilloides (L.) L'Hér.,Pelargonium,False,,24,16,4,4,10,14,cc-by-sa
1391967,Epipactis purpurata Sm.,Epipactis,False,,24,18,3,3,16,8,cc-by-sa
1363489,Phalaris aquatica L.,Phalaris,False,,26,18,4,4,17,9,cc-by-sa
1391190,Cirsium dissectum (L.) Hill,Cirsium,False,,26,18,4,4,14,12,cc-by-sa
1421001,Pelargonium spp.,Pelargonium,False,,26,18,4,4,15,11,cc-by-sa
1393253,Hypericum nummularium L.,Hypericum,False,,27,19,4,4,18,9,cc-by-sa
1433158,Hypericum hypericoides (L.) Crantz,Hypericum,False,,27,17,5,5,10,17,cc-by-sa
1441349,Cirsium altissimum (L.) Hill,Cirsium,False,,27,17,5,5,17,10,cc-by-sa
1358096,Sedum amplexicaule DC.,Sedum,False,,28,20,4,4,20,8,cc-by-sa
1359332,Lupinus micranthus Guss.,Lupinus,False,,28,18,5,5,18,10,cc-by-sa
1393245,Hypericum elodes L.,Hypericum,False,,28,20,4,4,9,19,cc-by-sa
1568914,Acacia saligna (Labill.) Wendl.,Acacia,False,,28,20,4,4,20,8,cc-by-sa
1357681,Lactuca saligna L.,Lactuca,False,,29,21,4,4,9,20,cc-by-sa
1363872,Barbarea intermedia Boreau,Barbarea,False,0.012776699029126214,30,20,5,5,18,12,cc-by-sa
1359528,Trifolium subterraneum L.,Trifolium,False,0.17306593532167752,31,21,5,5,18,13,cc-by-sa
1362080,Nymphaea lotus L.,Nymphaea,False,,31,23,4,4,23,8,cc-by-sa
1392690,Hebe brachysiphon Summerh.,Hebe,False,0.0,31,23,4,4,22,9,cc-by-sa
1360427,Oldenlandia corymbosa L.,Oldenlandia,False,0.7256724834260458,32,24,4,4,9,23,cc-by-sa
1370279,Gymnosporia putterlickioides Loes.,Gymnosporia,False,0.7896995708154506,32,22,5,5,11,21,cc-by-sa
1379513,Hypericum annulatum Moris,Hypericum,False,,32,24,4,4,23,9,cc-by-sa
1363463,Cenchrus ciliaris L.,Cenchrus,False,0.7065640098990454,33,23,5,5,25,8,cc-by-sa
1419086,Garrya elliptica Douglas ex Lindl.,Garrya,False,0.003443081557994405,33,23,5,5,15,18,cc-by-sa
1406426,Crotalaria pallida Aiton,Crotalaria,False,0.6637315564017134,35,25,5,5,22,13,cc-by-sa
1392653,Gomphocarpus fruticosus (L.) R.Br.,Gomphocarpus,False,0.48262073208243617,37,25,6,6,25,12,cc-by-sa
1363772,Acacia pycnantha Benth.,Acacia,False,,38,26,6,6,20,18,cc-by-sa
1394508,Anemone trifolia L.,Anemone,False,0.0,38,28,5,5,29,9,cc-by-sa
1392093,Erucastrum gallicum (Willd.) O.E.Schulz,Erucastrum,False,0.0011152852782343272,39,27,6,6,14,25,cc-by-sa
1409746,Lactuca floridana (L.) Gaertn.,Lactuca,False,0.004970414201183432,39,29,5,5,9,30,cc-by-sa
1412413,Lactuca canadensis L.,Lactuca,False,0.010280444478040668,40,28,6,6,9,31,cc-by-sa
1412662,Maianthemum stellatum (L.) Link,Maianthemum,False,0.001087557955391044,40,28,6,6,19,21,cc-by-sa
1397349,Chaerophyllum bulbosum L.,Chaerophyllum,False,0.00011469643676403119,41,29,6,6,27,14,cc-by-sa
1398130,Hypericum olympicum L.,Hypericum,False,,41,29,6,6,32,9,cc-by-sa
1358704,Hypericum montanum L.,Hypericum,False,,43,29,7,7,31,12,cc-by-sa
1359510,Trifolium ochroleucon Huds.,Trifolium,False,0.00012566366121076938,45,33,6,6,36,9,cc-by-sa
1403826,Pereskia bleo (Kunth) DC.,Pereskia,False,,45,31,7,7,35,10,cc-by-sa
1413391,Pyracantha coccinea M. Roem.,Pyracantha,False,0.00680165985460672,45,33,6,6,15,30,cc-by-sa
1391250,Cirsium tuberosum (L.) All.,Cirsium,False,0.0,48,34,7,7,36,12,cc-by-sa
1393823,Mercurialis tomentosa L.,Mercurialis,False,0.00021795989537925023,48,34,7,7,9,39,cc-by-sa
1394383,Pancratium illyricum L.,Pancratium,False,0.0,48,34,7,7,39,9,cc-by-sa
1434011,Liriope muscari (Decne.) L.H. Bailey,Liriope,False,0.17422758100979654,49,35,7,7,23,26,cc-by-sa
1420792,Daphne odora Thunb.,Daphne,False,0.3779697624190065,51,35,8,8,33,18,cc-by-sa
1389966,Cenchrus longisetus M.C.Johnst.,Cenchrus,False,0.3915441176470588,52,36,8,8,40,12,cc-by-sa
1408214,Hypericum lanceolatum Lam.,Hypericum,False,,52,36,8,8,31,21,cc-by-sa
1389567,Acacia saligna (Labill.) H.L.Wendl.,Acacia,False,,53,37,8,8,35,18,cc-by-sa
1391648,Daphne alpina L.,Daphne,False,0.0,53,37,8,8,31,22,cc-by-sa
1399920,Angelica atropurpurea L.,Angelica,False,0.0001576789656259855,53,37,8,8,35,18,cc-by-sa
1402811,Crotalaria retusa L.,Crotalaria,False,0.6766769576199831,53,37,8,8,42,11,cc-by-sa
1413757,Sedum ternatum Michx.,Sedum,False,,53,37,8,8,11,42,cc-by-sa
1418984,Lupinus albifrons Benth.,Lupinus,False,,57,39,9,9,46,11,cc-by-sa
1412410,Anemone virginiana L.,Anemone,False,0.0001488316713796696,58,40,9,9,38,20,cc-by-sa
1664348,Hepatica nobilis Mill.,Hepatica,False,5.172021432856818e-05,58,40,9,9,50,8,cc-by-sa
1408979,Fragaria chiloensis (L.) Mill.,Fragaria,False,0.015312353217472992,59,43,8,8,16,43,cc-by-sa
1358760,Lavandula multifida L.,Lavandula,False,0.0007726482518833301,61,41,10,10,37,24,cc-by-sa
1400104,Acacia baileyana F.Muell.,Acacia,False,,61,43,9,9,13,48,cc-by-sa
1412697,Mertensia maritima (L.) Gray,Mertensia,False,0.00035174111853675694,62,44,9,9,19,43,cc-by-sa
1411760,Diervilla lonicera Mill.,Diervilla,False,0.0,65,47,9,9,29,36,cc-by-sa
1393257,Hypericum richeri Vill.,Hypericum,False,0.0,66,46,10,10,57,9,cc-by-sa
1358099,Sedum brevifolium DC.,Sedum,False,,67,47,10,10,35,32,cc-by-sa
1358132,Sedum rubens L.,Sedum,False,,67,47,10,10,35,32,cc-by-sa
1363703,Lupinus albus L.,Lupinus,False,0.0541142908085941,68,46,11,11,31,37,cc-by-sa
1395722,Sagittaria sagittifolia L.,Sagittaria,False,0.0058039925308487495,69,47,11,11,24,45,cc-by-sa
1412833,Nymphaea odorata Aiton,Nymphaea,False,0.012431432373657049,69,47,11,11,59,10,cc-by-sa
1394455,Pelargonium peltatum (L.) Aiton,Pelargonium,False,0.062402496099843996,70,48,11,11,60,10,cc-by-sa
1392361,Fragaria moschata Weston,Fragaria,False,0.0005819592628516004,71,49,11,11,27,44,cc-by-sa
1397305,Alcea biennis Winterl,Alcea,False,0.0008488964346349745,71,51,10,10,28,43,cc-by-sa
1391110,Chaerophyllum aureum L.,Chaerophyllum,False,2.355657110550988e-05,72,50,11,11,44,28,cc-by-sa
1397491,Sedum atratum L.,Sedum,False,,72,50,11,11,57,15,cc-by-sa
1358749,Lamium flexuosum Ten.,Lamium,False,0.0003875968992248062,73,51,11,11,51,22,cc-by-sa
1389492,Tagetes tenuifolia Cav.,Tagetes,False,0.6636398032538782,73,51,11,11,64,9,cc-by-sa
1398274,Adenostyles leucophylla (Willd.) Rchb.,Adenostyles,False,0.0,73,51,11,11,64,9,cc-by-sa
1363700,Lupinus luteus L.,Lupinus,False,0.014355077052987122,74,50,12,12,57,17,cc-by-sa
1411834,Duchesnea indica (Andrews) Teschem.,Duchesnea,False,0.18291818825966097,75,53,11,11,35,40,cc-by-sa
