species_id,organ,seed,path
1416509,flower,0,1416509_flower_00000.png
1416509,flower,1,1416509_flower_00001.png
1416509,flower,2,1416509_flower_00002.png
1416509,flower,3,1416509_flower_00003.png
1416509,flower,4,1416509_flower_00004.png
1416509,flower,5,1416509_flower_00005.png
1416509,flower,6,1416509_flower_00006.png
1416509,flower,7,1416509_flower_00007.png
1416509,flower,8,1416509_flower_00008.png
1416509,flower,9,1416509_flower_00009.png
1416509,flower,10,1416509_flower_00010.png
1416509,flower,11,1416509_flower_00011.png
1416509,flower,12,1416509_flower_00012.png
1416509,flower,13,1416509_flower_00013.png
1416509,flower,14,1416509_flower_00014.png
1416509,flower,15,1416509_flower_00015.png
1416509,flower,16,1416509_flower_00016.png
1416509,flower,17,1416509_flower_00017.png
1416509,flower,18,1416509_flower_00018.png
1416509,flower,19,1416509_flower_00019.png
1416509,flower,20,1416509_flower_00020.png
1416509,flower,21,1416509_flower_00021.png
1416509,flower,22,1416509_flower_00022.png
1416509,flower,23,1416509_flower_00023.png
1416509,flower,24,1416509_flower_00024.png
1416509,flower,25,1416509_flower_00025.png
1416509,flower,26,1416509_flower_00026.png
1416509,flower,27,1416509_flower_00027.png
1416509,flower,28,1416509_flower_00028.png
1416509,flower,29,1416509_flower_00029.png
1416509,flower,30,1416509_flower_00030.png
1416509,flower,31,1416509_flower_00031.png
1416509,flower,32,1416509_flower_00032.png
1416509,flower,33,1416509_flower_00033.png
1416509,flower,34,1416509_flower_00034.png
1416509,flower,35,1416509_flower_00035.png
1416509,flower,36,1416509_flower_00036.png
1416509,flower,37,1416509_flower_00037.png
1416509,flower,38,1416509_flower_00038.png
1416509,flower,39,1416509_flower_00039.png
1416509,flower,40,1416509_flower_00040.png
1416509,flower,41,1416509_flower_00041.png
1416509,flower,42,1416509_flower_00042.png
1416509,flower,43,1416509_flower_00043.png
1416509,flower,44,1416509_flower_00044.png
1416509,flower,45,1416509_flower_00045.png
1416509,flower,46,1416509_flower_00046.png
1416509,flower,47,1416509_flower_00047.png
1416509,flower,48,1416509_flower_00048.png
1416509,flower,49,1416509_flower_00049.png
1416509,flower,50,1416509_flower_00050.png
1416509,flower,51,1416509_flower_00051.png
1416509,flower,52,1416509_flower_00052.png
1416509,flower,53,1416509_flower_00053.png
1416509,flower,54,1416509_flower_00054.png
1416509,flower,55,1416509_flower_00055.png
1416509,flower,56,1416509_flower_00056.png
